"COG","SOG","Timestamp","Longitude","Latitude","MMSI","RouteName","Type"
"195.4","1.9","Sun Apr 01 09:11:58 CST 2018","117.75642833333332","38.977895","413302410","POs0ENs0","在航"
"100.4","3.2","Sun Apr 01 09:15:30 CST 2018","117.756635","38.97686333333333","413302410","POs0ENs0","在航"
"172.0","0.9","Sun Apr 01 08:23:09 CST 2018","117.75857333333332","38.957953333333336","356248000","POs0ENs0","机动船在航"
"199.7","1.4","Sun Apr 01 08:24:16 CST 2018","117.75847","38.957645","356248000","POs0ENs0","机动船在航"
"91.5","0.0","Sun Apr 01 00:00:16 CST 2018","117.72569666666666","38.9606","413304280","POs0ENs0","机动船在航"
"91.5","0.0","Sun Apr 01 00:05:15 CST 2018","117.72571333333332","38.96067","413304280","POs0ENs0","机动船在航"
"97.4","0.7","Sun Apr 01 19:54:41 CST 2018","117.758295","38.980185","212919000","POs0ENs0","机动船在航"
"115.5","0.7","Sun Apr 01 19:54:53 CST 2018","117.75835666666669","38.980175","212919000","POs0ENs0","机动船在航"
"82.2","1.4","Mon Apr 02 14:51:55 CST 2018","117.76221333333334","38.94981166666667","311000413","POs0ENs0","在航"
"82.2","1.4","Mon Apr 02 14:51:56 CST 2018","117.76221333333334","38.94981166666667","311000413","POs0ENs0","在航"
"152.2","0.0","Sun Apr 01 00:10:16 CST 2018","117.78996333333332","38.97604333333334","412208740","POs0ENs0","机动船在航"
"152.2","0.0","Sun Apr 01 00:15:15 CST 2018","117.789975","38.97604","412208740","POs0ENs0","机动船在航"
"17.2","1.6","Mon Apr 02 00:46:00 CST 2018","117.79140333333334","38.969811666666665","477661200","POs0ENs0","在航"
"105.4","1.8","Mon Apr 02 00:49:57 CST 2018","117.79269666666669","38.970191666666665","477661200","POs0ENs0","在航"
"261.1","0.0","Sun Apr 01 00:01:00 CST 2018","117.789825","38.975635","412018350","POs0ENs0","机动船在航"
"261.1","0.0","Sun Apr 01 00:05:00 CST 2018","117.78981666666668","38.97564166666667","412018350","POs0ENs0","机动船在航"
"64.1","0.0","Sun Apr 01 00:00:00 CST 2018","117.78867666666666","38.974175","412018230","POs0ENs0","机动船在航"
"64.1","0.0","Sun Apr 01 00:05:18 CST 2018","117.78867166666669","38.97416666666667","412018230","POs0ENs0","机动船在航"
"336.4","0.0","Sat Apr 07 02:05:57 CST 2018","119.41357833333332","35.11812166666667","477195800","POs1ENs1","机动船在航"
"84.5","0.1","Sat Apr 07 02:07:10 CST 2018","119.41359","35.11813166666666","477195800","POs1ENs1","机动船在航"
"115.7","0.0","Sun Apr 01 00:00:33 CST 2018","119.39248","35.11949666666667","413358690","POs1ENs1","机动船在航"
"129.6","0.1","Sun Apr 01 00:06:31 CST 2018","119.39237333333334","35.1194","413358690","POs1ENs1","机动船在航"
"228.6","0.0","Sun Apr 01 00:01:32 CST 2018","119.38346","35.10122833333333","412330330","POs1ENs1","机动船在航"
"228.6","0.0","Sun Apr 01 00:05:42 CST 2018","119.38347166666668","35.10125","412330330","POs1ENs1","机动船在航"
"99.6","8.4","Mon Apr 02 09:45:51 CST 2018","119.38804666666668","35.10088","413328650","POs1ENs1","在航"
"22.9","4.4","Mon Apr 02 10:14:51 CST 2018","119.40142166666666","35.09090666666667","413328650","POs1ENs1","在航"
"346.0","4.0","Thu Apr 05 18:15:38 CST 2018","118.476","38.933","413010050","POs2ENs5","在航"
"350.0","12.7","Thu Apr 05 18:20:19 CST 2018","118.47283333333333","38.94266666666667","413010050","POs2ENs5","在航"
"140.4","8.5","Sun Apr 01 09:20:07 CST 2018","118.47258333333332","38.92599666666667","413272680","POs2ENs5","在航"
"128.7","10.2","Sun Apr 01 09:25:09 CST 2018","118.48508","38.91669666666667","413272680","POs2ENs5","在航"
"278.3","0.1","Sun Apr 01 16:40:08 CST 2018","118.46851833333334","38.98121833333333","412208470","POs2ENs5","机动船在航"
"299.8","0.2","Sun Apr 01 16:45:07 CST 2018","118.46823","38.9813","412208470","POs2ENs5","机动船在航"
"126.0","7.4","Sun Apr 01 08:20:51 CST 2018","118.461395","38.94291833333333","413272530","POs2ENs5","在航"
"181.9","7.7","Sun Apr 01 08:26:50 CST 2018","118.468555","38.93245666666667","413272530","POs2ENs5","在航"
"100.4","3.2","Sun Apr 01 09:15:30 CST 2018","117.756635","38.97686333333333","413302410","EXs0POs0","在航"
"99.8","9.2","Sun Apr 01 09:20:10 CST 2018","117.76870833333334","38.974475","413302410","EXs0POs0","在航"
"101.0","9.3","Sun Apr 01 09:25:19 CST 2018","117.78616833333334","38.971845","413302410","EXs0POs0","在航"
"0.9","7.2","Sun Apr 01 09:30:01 CST 2018","117.791215","38.97711666666667","413302410","EXs0POs0","在航"
"328.2","4.5","Sun Apr 01 09:35:20 CST 2018","117.78552166666668","38.98529","413302410","EXs0POs0","在航"
"152.0","4.7","Sun Apr 01 15:40:08 CST 2018","117.78050666666668","38.986115","413302410","EXs0POs0","在航"
"134.7","7.5","Sun Apr 01 15:45:08 CST 2018","117.79069166666666","38.97922833333333","413302410","EXs0POs0","在航"
"255.3","4.3","Sun Apr 01 15:50:08 CST 2018","117.78864166666666","38.972405","413302410","EXs0POs0","在航"
"227.3","3.8","Sun Apr 01 19:51:13 CST 2018","117.78281333333334","38.973435","413302410","EXs0POs0","在航"
"106.5","9.3","Sun Apr 01 19:55:03 CST 2018","117.78925833333334","38.969033333333336","413302410","EXs0POs0","在航"
"108.8","10.0","Sun Apr 01 20:00:04 CST 2018","117.80652833333332","38.96586333333333","413302410","EXs0POs0","在航"
"103.1","10.0","Sun Apr 01 20:05:04 CST 2018","117.82378","38.96208","413302410","EXs0POs0","在航"
"105.3","4.7","Sun Apr 01 20:11:44 CST 2018","117.84251833333332","38.959316666666666","413302410","EXs0POs0","在航"
"128.3","4.3","Sun Apr 01 20:15:04 CST 2018","117.84761333333331","38.957861666666666","413302410","EXs0POs0","在航"
"185.2","2.2","Sun Apr 01 22:16:00 CST 2018","117.850395","38.955133333333336","413302410","EXs0POs0","在航"
"10.2","3.1","Mon Apr 02 05:13:43 CST 2018","117.84808","38.954701666666665","413302410","EXs0POs0","在航"
"276.6","9.6","Mon Apr 02 05:19:43 CST 2018","117.83967666666666","38.961915","413302410","EXs0POs0","在航"
"276.3","9.8","Mon Apr 02 05:20:04 CST 2018","117.838475","38.962025","413302410","EXs0POs0","在航"
"286.3","10.1","Mon Apr 02 05:25:04 CST 2018","117.82128333333333","38.965336666666666","413302410","EXs0POs0","在航"
"280.4","10.1","Mon Apr 02 05:30:04 CST 2018","117.80355","38.968135","413302410","EXs0POs0","在航"
"288.6","7.2","Mon Apr 02 05:37:04 CST 2018","117.77993833333332","38.9718","413302410","EXs0POs0","在航"
"287.0","7.6","Mon Apr 02 05:40:14 CST 2018","117.77248333333333","38.973353333333336","413302410","EXs0POs0","在航"
"287.5","3.0","Mon Apr 02 05:47:54 CST 2018","117.759505","38.975746666666666","413302410","EXs0POs0","在航"
"215.2","1.6","Mon Apr 02 12:49:37 CST 2018","117.75638333333332","38.97766333333333","413302410","EXs0POs0","在航"
